"","SurveyCodeICES","longitude","latitude","time","Year","Haul_Code","Vessel_Code","Species_Code","Common_Name","Length_Split","Total_Number_Fish_Per_Hour","Junvenile_Number_Fish_Per_Hour","Adult_Number_Fish_Per_Hour"
"161","IGFS                    ",-12.081,52.987,"2009-01-01T00:00:00Z",2009,"168","EXP","SMH","Smooth Hound",NA,0,0,0
"162","IGFS                    ",-12.081,52.987,"2009-01-01T00:00:00Z",2009,"168","EXP","SPR","Sprat",NA,0,0,0
"163","IGFS                    ",-12.081,52.987,"2009-01-01T00:00:00Z",2009,"168","EXP","THR","Thornback Ray (Roker)",NA,2,0,0
"164","IGFS                    ",-12.081,52.987,"2009-01-01T00:00:00Z",2009,"168","EXP","UNR","Undulate Ray",NA,0,0,0
"165","IGFS                    ",-12.081,52.987,"2009-01-01T00:00:00Z",2009,"168","EXP","WAF","Black-bellied Anglerfish",20,4,0,4
"166","IGFS                    ",-12.081,52.987,"2009-01-01T00:00:00Z",2009,"168","EXP","WHB","Blue Whiting",19,10020.81,9845.93,174.88
"167","IGFS                    ",-12.081,52.987,"2009-01-01T00:00:00Z",2009,"168","EXP","WHG","Whiting",20,0,0,0
"168","IGFS                    ",-12.305,52.743,"2009-01-01T00:00:00Z",2009,"169","EXP","COD","Atlantic Cod",23,0,0,0
"169","IGFS                    ",-12.305,52.743,"2009-01-01T00:00:00Z",2009,"169","EXP","CUR","Cuckoo Ray",NA,0,0,0
"170","IGFS                    ",-12.305,52.743,"2009-01-01T00:00:00Z",2009,"169","EXP","DBM","Blackmouted Dogfish",NA,12,0,0
"171","IGFS                    ",-12.305,52.743,"2009-01-01T00:00:00Z",2009,"169","EXP","DGN","Nurse Hound",NA,0,0,0
"172","IGFS                    ",-12.305,52.743,"2009-01-01T00:00:00Z",2009,"169","EXP","DGS","Spurdog",NA,0,0,0
"173","IGFS                    ",-12.305,52.743,"2009-01-01T00:00:00Z",2009,"169","EXP","GAG","Tope Shark",NA,0,0,0
"174","IGFS                    ",-12.305,52.743,"2009-01-01T00:00:00Z",2009,"169","EXP","HAD","Haddock",20,0,0,0
