metadata_id,Date,Year,Month,Vessel,Functional_Unit,Fishing_Grounds,Survey_Code,Haul,Sample_Type,Sex,CLmm,NepCount,PredWt_Kg,fldShotLatDecimalDegrees,fldShotLonDecimalDegrees,fldHaulLatDecimalDegrees,fldHaulLonDecimalDegrees,Gear_Type,TowDurationMin,AreaKmSq
TOUGHBOOK126_31102005,00:00.0,2005,10,Celtic Explorer,19,Galley Ground 4,IGFS2005,42,Catch,Male,20,1,0.005347771,51.095,-8.259,51.111,-8.21,Groundgear_A,29,0.483274703
3DYAA01482138_11112004,00:00.0,2004,11,Celtic Explorer,15,W Irish Sea,IGFS2004,128,Catch,Male,32,3,0.066195665,53.492,-5.67,53.521,-5.671,Groundgear_A,30,0.345423783
WKSTN128_16112009,00:00.0,2009,11,Celtic Explorer,19,NoFishingGround,IGFS2009,134,Catch,Female,25,2,0.020468498,51.117,-9.31,51.117,-9.362,Groundgear_A,30,0.415084393
MI307391_19112011,00:00.0,2011,11,Celtic Explorer,2021,"Labadie, Jones & Cockburn",IGFS2011,83,Catch,Male,18,3,0.01145891,50.641,-8.204,50.623,-8.246,Groundgear_A,30,0.433571232
TOUGHBOOK1119_12112003,00:00.0,2003,11,Celtic Explorer,2021,NoFishingGround,IGFS2003,80,Catch,Male,32,2,0.044136302,50.628,-8.913,50.606,-8.886,Groundgear_A,30,0.372595899
D6MF0R0J42_07112008,00:00.0,2008,11,Celtic Explorer,19,NoFishingGround,IGFS2008,104,Catch,Male,40,1,0.045730951,51.206,-8.532,51.186,-8.573,Groundgear_A,30,0.406369328
MI3073102_28112011,00:00.0,2011,11,Celtic Explorer,19,NoFishingGround,IGFS2011,124,Catch,Male,38,9,0.354203512,51.186,-8.573,51.206,-8.532,Groundgear_A,30,0.423785156
TOUGHBOOK220_19112006,00:00.0,2006,11,Celtic Explorer,2021,"Labadie, Jones & Cockburn",IGFS2006,137,Catch,Male,29,2,0.033175484,50.702,-7.907,50.722,-7.846,Groundgear_A,30,0.615829046
D6MF0R0J45_08112008,00:00.0,2008,11,Celtic Explorer,2021,Banana,IGFS2008,108,Catch,Male,37,1,0.036141054,51.058,-7.516,51.038,-7.558,Groundgear_A,29,0.413416659
WKSTN120_11112009,00:00.0,2009,11,Celtic Explorer,2021,NoFishingGround,IGFS2009,121,Catch,Male,24,7,0.063903461,50.561,-8.612,50.592,-8.594,Groundgear_A,30,0.415456965
MI307449_03102014,00:00.0,2014,10,Celtic Explorer,99,NoFishingGround,IGFS2014,44,Catch,Male,26,5,0.051019623,54.582,-8.348,54.567,-8.4,Groundgear_D,30,0.27032671
MI307429_27112012,00:00.0,2012,11,Celtic Explorer,22,Smalls,IGFS2012,107,Catch,Female,29,1,0.015917058,51.444,-6.138,51.476,-6.122,Groundgear_A,30,0.438257696
WKSTN147_18122010,00:00.0,2010,12,Celtic Explorer,17,Slyne head,IGFS2010,192,Catch,Male,22,4,0.028595656,53.312,-10.275,53.29,-10.232,Groundgear_A,30,0.439209936
MI307379_16112011,00:00.0,2011,11,Celtic Explorer,19,NoFishingGround,IGFS2011,67,Catch,Female,33,1,0.022283791,52.052,-7.405,52.024,-7.378,Groundgear_A,29,0.250834575
