metadata_id,Date,Year,Month,Vessel,Functional_Unit,Fishing_Grounds,Survey_Code,Haul,Sample_Type,Sex,CLmm,NepCount,PredWt_Kg
MI307391_19112011,00:00.0,2011,11,Celtic Explorer,2021,"Labadie, Jones & Cockburn",IGFS2011,83,Catch,Male,25,14,0.146613313
TOUGHBOOK116_25102005,00:00.0,2005,10,Celtic Explorer,19,NoFishingGround,IGFS2005,20,Catch,Female,27,2,0.024058521
WKSTN137_30112010,00:00.0,2010,11,Celtic Explorer,19,Galley Ground 3,IGFS2010,124,Catch,Male,28,4,0.058164826
MI307478_01122014,00:00.0,2014,12,Celtic Explorer,22,Smalls,IGFS2014,121,Catch,Male,33,7,0.175188033
TOUGHBOOK114_24102005,00:00.0,2005,10,Celtic Explorer,19,Cork Channels,IGFS2005,16,Catch,Male,30,7,0.128359682
WKSTN124_25112010,00:00.0,2010,11,Celtic Explorer,19,NoFishingGround,IGFS2010,95,Catch,Male,24,1,0.009733323
WKSTN12_27092009,00:00.0,2009,9,Celtic Explorer,99,NoFishingGround,IGFS2009,5,Catch,Male,29,1,0.015461854
TOUGHBOOK131_12112005,00:00.0,2005,11,Celtic Explorer,17,Slyne head,IGFS2005,94,Catch,Female,26,2,0.022916573
WKSTN133_21112009,00:00.0,2009,11,Celtic Explorer,17,Aran,IGFS2009,152,Catch,Male,32,32,0.722918908
TOUGHBOOK117_18112004,00:00.0,2004,11,Celtic Explorer,13,NoFishingGround,IGFS2004,155,Catch,Male,20,2,0.00987404
MI307388_19112011,00:00.0,2011,11,Celtic Explorer,2021,"Labadie, Jones & Cockburn",IGFS2011,80,Catch,Male,31,15,0.308279629
MI307476_01122014,00:00.0,2014,12,Celtic Explorer,22,NoFishingGround,IGFS2014,119,Catch,Female,22,4,0.0273377
MI307422_25112012,00:00.0,2012,11,Celtic Explorer,2021,NoFishingGround,IGFS2012,98,Catch,Male,39,2,0.085690738
TOUGHBOOK222_21112006,00:00.0,2006,11,Celtic Explorer,22,Smalls,IGFS2006,144,Catch,Male,41,1,0.048131522
WKSTN147_18122010,00:00.0,2010,12,Celtic Explorer,17,Slyne head,IGFS2010,192,Catch,Male,29,11,0.186633714
3DYAA01482124_16102004,00:00.0,2004,10,Celtic Explorer,99,E Stanton,IGFS2004,18,Catch,Male,25,13,0.115182012
TOUGHBOOK227_22112006,00:00.0,2006,11,Celtic Explorer,22,NoFishingGround,IGFS2006,150,Catch,Male,35,2,0.061482615
MI307392_20112011,00:00.0,2011,11,Celtic Explorer,2021,"Labadie, Jones & Cockburn",IGFS2011,84,Catch,Male,41,8,0.398834851
MI307446_28092014,00:00.0,2014,9,Celtic Explorer,12,E Stanton,IGFS2014,22,Catch,Male,35,1,0.028310479
TOUGHBOOK139_22112005,00:00.0,2005,11,Celtic Explorer,12,NoFishingGround,IGFS2005,129,Catch,Male,43,1,0.056448416
WKSTN127_27112010,00:00.0,2010,11,Celtic Explorer,22,NoFishingGround,IGFS2010,108,Catch,Female,16,1,0.002720435
D6MF0R0J17_10112007,00:00.0,2007,11,Celtic Explorer,2021,"Labadie, Jones & Cockburn",IGFS2007,121,Catch,Female,22,1,0.006575185
D6MF0R0J52_12112008,00:00.0,2008,11,Celtic Explorer,19,NoFishingGround,IGFS2008,124,Catch,Male,41,9,0.448433163
3DYAA01482123_13102004,00:00.0,2004,10,Celtic Explorer,19,Galley Ground 4,IGFS2004,94,Catch,Male,28,1,0.015013171
D6MF0R0J43_07112008,00:00.0,2008,11,Celtic Explorer,19,Galley Ground 4,IGFS2008,105,Catch,Male,33,4,0.100314754
MI307483_02122014,00:00.0,2014,12,Celtic Explorer,2021,"Labadie, Jones & Cockburn",IGFS2014,127,Catch,Male,53,1,0.110570598
TOUGHBOOK115_17112004,00:00.0,2004,11,Celtic Explorer,15,W Irish Sea,IGFS2004,153,Catch,Male,25,2,0.021540183
MI3058148_15112013,00:00.0,2013,11,Celtic Explorer,99,NoFishingGround,IGFS2013,119,Catch,Female,35,1,0.029635938
WKSTN115_08112009,00:00.0,2009,11,Celtic Explorer,2021,"Labadie, Jones & Cockburn",IGFS2009,102,Catch,Female,28,1,0.01410485
WKSTN128_16112009,00:00.0,2009,11,Celtic Explorer,19,NoFishingGround,IGFS2009,134,Catch,Female,23,3,0.023127107
MI307376_15112011,00:00.0,2011,11,Celtic Explorer,19,NoFishingGround,IGFS2011,63,Catch,Male,28,5,0.074882839
WKSTN15_29102009,00:00.0,2009,10,Celtic Explorer,17,Galway bay,IGFS2009,58,Catch,Male,38,6,0.236661536
WKSTN131_28112010,00:00.0,2010,11,Celtic Explorer,22,Smalls,IGFS2010,112,Catch,Male,39,3,0.129496282
TOUGHBOOK219_12112006,00:00.0,2006,11,Celtic Explorer,17,Galway bay,IGFS2006,113,Catch,Male,11,1,0.000889033
TOUGHBOOK232_25112006,00:00.0,2006,11,Celtic Explorer,2021,"Labadie, Jones & Cockburn",IGFS2006,164,Catch,Female,22,2,0.014144486
3DYAA01482128_27102004,00:00.0,2004,10,Celtic Explorer,2021,NoFishingGround,IGFS2004,87,Catch,Male,31,4,0.082628633
MI307449_03102014,00:00.0,2014,10,Celtic Explorer,99,NoFishingGround,IGFS2014,44,Catch,Male,24,1,0.007833235
TOUGHBOOK1129_16112003,00:00.0,2003,11,Celtic Explorer,19,NoFishingGround,IGFS2003,89,Catch,Male,46,4,0.285344846
